country,year,emp_rate
SWE,2019,76.44592
SWE,2020,74.6163375
SWE,2021,75.10195250000001
SWE,2022,76.9665975
SWE,2023,77.406895
SWE,2024,76.671995
SWE,2025,76.42288
USA,1977,65.4182025
USA,1978,67.1193125
USA,1979,67.924725
USA,1980,67.183395
USA,1981,67.07099500000001
USA,1982,65.74734000000001
USA,1983,66.01932000000001
USA,1984,68.14138750000001
USA,1985,69.00112
USA,1986,69.68225000000001
USA,1987,70.74556749999999
USA,1988,71.6504525
USA,1989,72.4985775
USA,1990,72.18321499999999
USA,1991,70.9613325
USA,1992,70.80671
USA,1993,71.20976250000001
USA,1994,72.007515
USA,1995,72.5319825
USA,1996,72.860205
USA,1997,73.5073375
USA,1998,73.84536
USA,1999,73.946725
USA,2000,74.0914375
USA,2001,73.11364
USA,2002,71.9156475
USA,2003,71.212085
USA,2004,71.21441
USA,2005,71.5242275
USA,2006,71.9904325
USA,2007,71.7726175
USA,2008,70.86498
USA,2009,67.6053275
USA,2010,66.67303
USA,2011,66.63058749999999
USA,2012,67.1206325
USA,2013,67.3468325
USA,2014,68.1422175
USA,2015,68.7015675
USA,2016,69.3380475
USA,2017,70.1026425
USA,2018,70.7173675
USA,2019,71.3501575
USA,2020,67.0130625
USA,2021,69.4021925
USA,2022,71.263015
USA,2023,71.94357500000001
USA,2024,71.851995
USA,2025,71.74240333333334
USA,2026,71.78174
